,V3 minus Equal Weight,V3 minus Markowitz,V3 minus Original HMM-MPC
2022-06-03,0.6233253066845785,0.992782458291761,0.7208872075901058
2022-06-06,0.6119632777146871,0.9875540229629487,0.7139297524960564
2022-06-07,0.6605347916457669,1.0451889739327145,0.7699772349919978
2022-06-08,0.6864676181925713,1.0616607868003363,0.7979988285847583
2022-06-09,0.6727644995191082,1.032665312557279,0.7771606592480893
2022-06-10,0.694665881195399,1.0159013045208027,0.761642822395193
2022-06-13,0.6457219276091131,0.9333304341160451,0.6935928255663866
2022-06-14,0.6479951560509876,0.9445633585381854,0.7127572354664791
2022-06-15,0.5894045985022038,0.8909946047821893,0.662701636165719
2022-06-16,0.5452699118977185,0.7978472839762691,0.575734197871344
2022-06-17,0.4478983428721075,0.6937591740223459,0.47607807929695944
2022-06-21,0.5065163269357091,0.7590578888374933,0.5388747836339176
2022-06-22,0.45603247927290136,0.6816127607321327,0.4665192264451936
2022-06-23,0.4073714815413445,0.5964084549042017,0.38282571375342433
2022-06-24,0.37629843211988323,0.5898830935871358,0.37143656451655094
2022-06-27,0.4275803917760097,0.6448076295023224,0.4231219211544812
2022-06-28,0.488131939592924,0.7160175507566215,0.4875910505134713
2022-06-29,0.4504085147920063,0.6498062606689836,0.4227115787706648
2022-06-30,0.43866531969194655,0.624154610497214,0.39083756956948346
2022-07-01,0.4537402823586243,0.6389513826112334,0.4003589180541005
2022-07-05,0.38874677410263603,0.5658288358648966,0.3424632879501859
2022-07-06,0.3678443908189948,0.5378911561813431,0.3094814933534331
2022-07-07,0.3870450277281363,0.5852656002170118,0.36160005622797886
2022-07-08,0.3915124089573725,0.5838002283794985,0.36177853571517726
2022-07-11,0.3994941350554835,0.5796682623230773,0.3493722569944917
2022-07-12,0.37863501274651323,0.5556448793768825,0.32664616282634684
2022-07-13,0.37930388484028965,0.5539195298437805,0.3278736213718818
2022-07-14,0.3662578048494787,0.5266262268254533,0.29798555181882325
2022-07-15,0.3633655302460883,0.5347466229868196,0.3095251509384642
2022-07-18,0.3838143761466273,0.5810107303731504,0.3624810906168787
2022-07-19,0.3801554044812727,0.6095723512656179,0.3946410652229613
2022-07-20,0.36938227777340815,0.6256468855392217,0.4186879875075822
2022-07-21,0.3305400885378016,0.582158581828625,0.37948232324857933
2022-07-22,0.33568151286081793,0.573003877383512,0.3637248545702394
2022-07-25,0.3887406376687892,0.6340622886533671,0.41784856706082607
2022-07-26,0.40484600559568884,0.6299777389734476,0.40332334247333
2022-07-27,0.3969496427859154,0.6493795225140673,0.4297989289872963
2022-07-28,0.39232718213641204,0.6539102852352117,0.42269457881523653
2022-07-29,0.4164169120253267,0.7261841544113392,0.5029880821868362
2022-08-01,0.3905810072116114,0.683764690068466,0.4598567904134998
2022-08-02,0.4007124479131754,0.688076702760116,0.463993854406306
2022-08-03,0.3391098773218868,0.6251476786645691,0.40241012292265577
2022-08-04,0.28325479712424384,0.5695829313868894,0.34599638195481575
2022-08-05,0.31052132641638375,0.6069694025995016,0.3806331058930228
2022-08-08,0.3183200767811507,0.613995308570062,0.3894627603009502
2022-08-09,0.35429302613055347,0.6561612087267146,0.42200158685270317
2022-08-10,0.324863119655439,0.650592926415869,0.42167065771476553
2022-08-11,0.36491293114977896,0.7155648503253991,0.48583326393146686
2022-08-12,0.3527457062550532,0.7165056507749563,0.4851411897823672
2022-08-15,0.324957506480815,0.6747695068982047,0.43964254471852726
2022-08-16,0.3136103689419514,0.6618169143325563,0.4281691128590337
2022-08-17,0.33898267160234585,0.6838211522070075,0.44823662505513884
2022-08-18,0.3722312710905613,0.7319125995136813,0.49449482416115487
2022-08-19,0.40516393107139637,0.7391883228823,0.4971003420679492
2022-08-22,0.4347831259565633,0.7529706876134137,0.5112739044393413
2022-08-23,0.48384912358068366,0.8284574362762536,0.5927385594703067
2022-08-24,0.49994155003666485,0.8501055461329781,0.6147647661533497
2022-08-25,0.48779133016758847,0.8545781396626695,0.6192730978989109
2022-08-26,0.5189437835694277,0.8702818425092618,0.6338789276902514
2022-08-29,0.5570080960021309,0.9075380274158387,0.6700478124226308
2022-08-30,0.5125773297264535,0.8482172942984803,0.6131729794012362
2022-08-31,0.5103428102413563,0.8383646120848489,0.603903051282455
2022-09-01,0.4798031112976582,0.7837498440695221,0.5430608275041089
2022-09-02,0.5154625699291739,0.8314148431746755,0.5964827460852713
2022-09-06,0.5051020314597987,0.8190808556579454,0.5825131546354934
2022-09-07,0.4696271373109182,0.7892684027164703,0.542850894713327
2022-09-08,0.4564259386088745,0.7779641743092491,0.5360362687928966
2022-09-09,0.4715217680901551,0.8065055778440202,0.5682790700747913
2022-09-12,0.4890381838661604,0.837146369053654,0.5978535354658856
2022-09-13,0.5088886099777161,0.8359554281511254,0.5976949052328822
2022-09-14,0.5613511859815712,0.893412440723981,0.6558447571529005
2022-09-15,0.5136733219367722,0.8219406217709686,0.5960016211557555
2022-09-16,0.4970801233968438,0.781346023030077,0.5539507651434024
2022-09-19,0.4896832154207793,0.7927932544706979,0.561847489828033
2022-09-20,0.4936396317006664,0.7870335945880318,0.5582924750973199
2022-09-21,0.4965161893986849,0.7737851096617954,0.5447830652062815
2022-09-22,0.5118564280785565,0.7651702126020301,0.5324245098873654
2022-09-23,0.4237162799457006,0.6507140824011595,0.41655378417451194
2022-09-26,0.3888719452904019,0.597224306439327,0.3726153723077301
2022-09-27,0.3908348775725683,0.6142900378804912,0.3994441578727632
2022-09-28,0.423214142439742,0.6606338310159918,0.4490126967737451
2022-09-29,0.42761336442643083,0.6541025812561307,0.4527097569364811
2022-09-30,0.4241645628255335,0.6543523005514293,0.45715323487830606
2022-10-03,0.48666060199519157,0.7441735714389965,0.5360324911886742
2022-10-04,0.5071114510247345,0.797080055726354,0.590029904713997
2022-10-05,0.5320357165867255,0.8173433486818062,0.6212402156410568
2022-10-06,0.5577406678323138,0.846977568976393,0.6668851932350237
2022-10-07,0.5822069788866107,0.8554480767942287,0.6762338785882549
2022-10-10,0.5628080153261026,0.8293657361126829,0.6474777247619459
2022-10-11,0.5611961796431828,0.8038764276749344,0.619944691156002
2022-10-12,0.5491875088547751,0.7789529104173147,0.6085494310428228
2022-10-13,0.5823194480158027,0.8341091363350768,0.6575177003690293
2022-10-14,0.5581733532220752,0.7844078302667041,0.6026382157859267
2022-10-17,0.5458965383616006,0.7943242914550401,0.6138058325503208
2022-10-18,0.5486055527267131,0.8113090234706868,0.6273516791725111
2022-10-19,0.5999384653804305,0.8655622516184458,0.6859523648951606
2022-10-20,0.5990516975343185,0.8611162355810098,0.6870035476483407
2022-10-21,0.6062449823186165,0.8896335551067964,0.715477457518451
2022-10-24,0.6042925271382051,0.8749559382096459,0.6957754002659882
2022-10-25,0.594157950157427,0.8784148969604826,0.6975276281301444
2022-10-26,0.6164834451435088,0.8845850809224571,0.701939660487819
2022-10-27,0.6314857216379854,0.9074894588485565,0.721246991091669
2022-10-28,0.6282962841400654,0.9158278217649989,0.7173407754813299
2022-10-31,0.6430434799302862,0.9239354078174018,0.7280468631500661
2022-11-01,0.6661249489360079,0.9489042390230726,0.7501041464527134
2022-11-02,0.667029935852069,0.9355010668361667,0.7323504898829776
2022-11-03,0.7091054374820009,0.979737723752899,0.7754831530692887
2022-11-04,0.701386430460671,0.9917294449603302,0.7866496150117106
2022-11-07,0.6907585942617294,0.9798160862259819,0.7780841572354964
2022-11-08,0.6849765638378487,0.9824771931338172,0.7783829347816109
2022-11-09,0.6385208391561945,0.9131038234331132,0.7056234484011328
2022-11-10,0.6136344263625957,0.9510238170257561,0.7408227619956307
2022-11-11,0.6271991732580848,0.995766854954395,0.795275446026797
2022-11-14,0.6287951010801747,0.986668245804438,0.7874429201128699
2022-11-15,0.6467982326243433,1.0128821304680637,0.8122462355642162
2022-11-16,0.6437072342964751,0.9890026282636737,0.7821864494390707
2022-11-17,0.6372192911860597,0.972986068261132,0.768701856979487
2022-11-18,0.6366254553780535,0.9650034622170902,0.753569852433162
2022-11-21,0.6276781992145555,0.9429701927164111,0.7285534407003715
2022-11-22,0.6568954900604673,0.9883740462679689,0.7725428218023724
2022-11-23,0.6393122684417145,0.9752857173244798,0.7592517753755437
2022-11-25,0.6377816741624671,0.9693697789422835,0.7517583946455897
2022-11-28,0.6172385324099672,0.9233337263356156,0.7071773386284015
2022-11-29,0.6305540761814061,0.9441681582484245,0.7292095965927299
2022-11-30,0.6098920141098549,0.9374178997710749,0.7199229464541674
2022-12-01,0.6033967944528515,0.9302303230044964,0.7134604657652677
2022-12-02,0.5866851729815363,0.9060448004236625,0.6914496409114017
2022-12-05,0.5770535922256861,0.8748959619833623,0.6591335358339894
2022-12-06,0.5721797321523936,0.8566020855779048,0.6391401744408491
2022-12-07,0.5675813587186522,0.8349279453442113,0.616688578290495
2022-12-08,0.5521589325932443,0.820150556215109,0.6016292611498546
2022-12-09,0.5269903473352366,0.7969754390349486,0.5811561581294029
2022-12-12,0.5653778293627525,0.8486108658440643,0.6252683462598689
2022-12-13,0.5894852082562432,0.8854412391288689,0.6617816260123228
2022-12-14,0.5913265701400254,0.8725893284780191,0.6471731010099586
2022-12-15,0.6213036308604858,0.8891215259650309,0.6630641222763045
2022-12-16,0.6071646942468227,0.8706509405587659,0.6487682104582726
2022-12-19,0.6227945785431896,0.8746928787230219,0.6508578140502705
2022-12-20,0.6498515447599384,0.9061855649919659,0.6813108526106579
2022-12-21,0.666011542245009,0.9334696735254302,0.7047470226970125
2022-12-22,0.6468273343557471,0.8858409297247585,0.6575649838864739
