decision_date,effective_date,candidate,solver_status,turnover,transaction_cost,effective_alpha,regime,prob_calm,prob_transition,prob_stress,gamma,base_alpha,turnover_cap,stress_multiplier,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2022-06-10,2022-06-13,g5_a100_cap25_s1,optimal,0.006924993757059427,1.0263551776243618e-05,0.8063336795385712,transition,0.03909564948164801,0.9576033497233329,0.0033010007950190004,5.0,1.0,0.25,1.0,1.8648336347923976e-06,0.6000061461203177,1.9268928154253745e-06,1.9099547036168234e-06,1.0504492112232184e-06,0.061283160090978006,0.28442245388064397,0.05428030234105561,1.1854366396451483e-06
2022-06-17,2022-06-21,g5_a100_cap25_s1,optimal,5.117463475310907e-06,7.592368015162607e-09,0.8057180963399874,transition,0.03609782782270081,0.9605655739005156,0.0033365982767837006,5.0,1.0,0.25,1.0,7.661962285184967e-07,0.5738403923401221,8.037905713621031e-07,7.935172837258474e-07,5.456986938587948e-07,0.06771053203610741,0.2985763027720394,0.05986928136486149,5.822840921551193e-07
2022-06-24,2022-06-27,g5_a100_cap25_s1,optimal,0.04306299980446402,6.406909600716916e-05,0.8039888802596371,transition,0.027967413426892702,0.9684668034047931,0.0035657831683142006,5.0,1.0,0.25,1.0,1.8088028331656073e-07,0.5098043635039206,1.9597679067427392e-07,1.913827184163631e-07,1.2811128513466212e-07,0.07061830054044622,0.35620797906370244,0.06336852078856012,1.3975229307718902e-07
2022-07-01,2022-07-05,g5_a100_cap25_s1,optimal,4.7319415800462587e-07,7.043625358873345e-10,0.803709840794456,transition,0.02646149335216059,0.9700219335901146,0.003516573057724799,5.0,1.0,0.25,1.0,6.787119755771712e-08,0.5055784448184175,7.255297052809524e-08,7.167196912984555e-08,5.39576292351198e-08,0.06942861916104888,0.3627761737312724,0.06221643944353972,5.679195501138905e-08
2022-07-08,2022-07-11,g5_a100_cap25_s1,optimal,2.2543797636745817e-07,3.356254844708681e-10,0.8036234287686166,transition,0.02593127647307371,0.970595775691375,0.003472947835551301,5.0,1.0,0.25,1.0,2.205985122766966e-08,0.5050312836081569,2.3370764057505277e-08,2.3052705367587848e-08,1.9799547801288655e-08,0.07063677555603899,0.36023519939705895,0.06409663269453175,2.0461345207755054e-08
2022-07-15,2022-07-18,g5_a100_cap25_s1,optimal,7.390962701846475e-08,1.1005629769892747e-10,0.8035181310548846,transition,0.025290604792653205,0.9712871954214665,0.0034221997858803004,5.0,1.0,0.25,1.0,7.179496637379639e-09,0.4968449770843611,7.474500318190154e-09,7.393740171756197e-09,6.746632473098667e-09,0.07192229556886451,0.3662747631683064,0.06495792852678102,6.85731740087606e-09
2022-07-22,2022-07-25,g5_a100_cap25_s1,optimal,2.4680985146064915e-08,3.6752423784392684e-11,0.8035185856505737,transition,0.025170207775440205,0.97146211243675,0.0033676797878098006,5.0,1.0,0.25,1.0,2.3892117697509095e-09,0.5068320478018257,2.4348284571665872e-09,2.4345131342078125e-09,2.2891832387733967e-09,0.07098030290911618,0.3584897196543015,0.06369791772942332,2.357596839609286e-09
2022-07-29,2022-08-01,g5_a100_cap25_s1,optimal,7.796142582660963e-09,1.1611073373166145e-11,0.8034366068261541,transition,0.024645097708888807,0.9720384295897254,0.003316472701385801,5.0,1.0,0.25,1.0,7.513738490191528e-10,0.5183741531740854,7.551070004441093e-10,7.682828289090256e-10,7.356857660133041e-10,0.06702736189383153,0.3543195520317821,0.06027892913968602,7.501653526945824e-10
2022-08-05,2022-08-08,g5_a100_cap25_s1,optimal,2.6371468172206016e-09,3.92805217297044e-12,0.8033766591752083,transition,0.024263346239533204,0.9724566313766927,0.0032800223837741002,5.0,1.0,0.25,1.0,2.514970540162706e-10,0.5002100197590921,2.543280173814196e-10,2.5810709731617844e-10,2.5331410610042335e-10,0.0695445460863376,0.36827629552531166,0.0619691373571818,2.5483066918206357e-10
2022-08-12,2022-08-15,g5_a100_cap25_s1,optimal,7.488587663066359e-10,1.1153799017590113e-12,0.8034034186985203,transition,0.024403763212027103,0.9723132724682281,0.0032829643197448003,5.0,1.0,0.25,1.0,1.021207995832117e-10,0.5110009674650555,1.0310803139041095e-10,1.0301903189426563e-10,1.0082546498836943e-10,0.06693606221869741,0.36213211313607946,0.059930856669244095,1.0185031730830119e-10
2022-08-19,2022-08-22,g5_a100_cap25_s1,optimal,0.0021540326313126794,3.20814119537327e-06,0.8034328003883531,transition,0.0245541542698372,0.9721613335843532,0.0032845121458096,5.0,1.0,0.25,1.0,1.8176464496209926e-11,0.513466227786203,1.852767738506033e-11,1.8655365992604392e-11,1.8070387959455148e-11,0.06736870282437474,0.3624091125909488,0.056755956706710756,1.8332784690184754e-11
2022-08-26,2022-08-29,g5_a100_cap25_s1,optimal,5.915166261501224e-11,8.809036834761489e-14,0.8034852014574649,transition,0.024834977778804605,0.9718721464472042,0.003292875773991201,5.0,1.0,0.25,1.0,5.762434502356323e-12,0.5310587653416472,5.7466180785714384e-12,5.779392238066537e-12,5.580032238725244e-12,0.0646962505689007,0.3503243971470556,0.053920586913863595,5.664436676236211e-12
2022-09-02,2022-09-06,g5_a100_cap25_s1,optimal,0.01929267856421344,2.8764506438949013e-05,0.8027984124749628,transition,0.021370053706422403,0.9753508390350847,0.0032791072584929006,5.0,1.0,0.25,1.0,1.0395845962982754e-12,0.5456885158160184,1.0662425741758678e-12,1.0600092834882668e-12,1.0007239697311203e-12,0.06475134774717521,0.3544811470519023,0.03507898937969021,1.047081387249733e-12
2022-09-09,2022-09-12,g5_a100_cap25_s1,optimal,0.005760303133384501,8.588447409419168e-06,0.8028019830990519,transition,0.021294913726978604,0.9754673092811462,0.003237776991875201,5.0,1.0,0.25,1.0,1.977347869171018e-13,0.5448243453145328,2.0229766717437015e-13,1.9863740536193858e-13,1.8584491983414339e-13,0.06469924809018847,0.36034321759462695,0.030133188999666317,2.010131836258062e-13
