,g5_a025_cap10_s1,g5_a025_cap25_s1,g5_a075_cap10_s1,g5_a075_cap25_s1,g5_a100_cap10_s1,g5_a100_cap25_s1,g8_a025_cap10_s1,g8_a025_cap25_s1,g8_a075_cap10_s1,g8_a075_cap25_s1,g8_a100_cap10_s1,g8_a100_cap25_s1
2013-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-22,6.36160552285162e-20,0.0,9.592971019597764e-06,1.7537493179172726e-10,8.305115400100347e-06,3.660411062120559e-12,3.887647819520434e-20,2.6506689678548415e-21,5.36298734080651e-05,4.1556979579842867e-05,5.2535333897686624e-05,6.782786707965443e-19
2013-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-29,0.0,0.0,8.245484468448926e-11,8.725984377282368e-11,3.053168669893923e-10,1.8240160015085325e-12,4.2324446439270733e-20,8.817593008181402e-22,3.773012104020079e-05,3.6034744877292253e-05,1.1272568868332046e-11,3.7617125845595946e-19
2013-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-05,0.0,0.0,2.516407176770574e-11,3.243675693749611e-11,1.0798636669597059e-10,6.779115951025465e-13,1.1636914288043324e-19,7.93425974184772e-20,4.2629180975426276e-05,3.0274829304995784e-05,2.9624459666690814e-12,4.0296793111962954e-19
2013-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-12,0.0,6.38140421881816e-20,9.443858012134212e-12,1.216262056090213e-11,5.8114361901506536e-11,2.5434693411977805e-13,8.685800186724716e-20,7.9767552735227e-21,4.995765046933017e-11,2.4055219245457706e-11,1.5934163073760622e-12,3.431520009762332e-19
2013-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-19,0.0,0.0,5.095141686124914e-12,6.5623044058573816e-12,3.135750669463167e-11,1.374998844404929e-13,6.151636602500387e-20,5.126363835416989e-21,2.497275715415891e-11,1.3002922779696334e-11,8.599254069741334e-13,9.591477535730857e-20
2013-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-26,9.277952883975993e-20,0.0,1.8962783610611706e-12,2.4441711800211555e-12,1.1671136204957507e-11,5.12187787895922e-14,3.865813701656664e-21,6.958464662981995e-20,9.307872880389898e-12,4.8417284059980576e-12,3.1999385267352537e-13,3.526912069690011e-20
2013-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
